AAPL,FB,GOOGL,AMZN,BAC,WFC,c
170.16,177.68,1053.02,1172.0,29.75,61.04,75.09
172.53,181.88,1073.93,1188.3,29.9,61.22,74.35
172.54,184.9,1097.09,1205.0,29.97,61.98,75.01
173.44,185.59,1103.45,1217.51,30.37,62.76,75.71
174.35,187.2,1111.0,1236.0,30.23,62.66,75.17
174.55,188.7,1118.44,1256.9,30.2,62.3,74.76
173.16,186.94,1107.0,1245.15,30.37,62.48,75.7
174.59,188.4,1112.31,1259.74,30.66,63.65,75.98
176.18,178.06,1110.1,1273.39,30.88,63.2,75.9
177.9,181.5,1140.31,1323.0,31.74,62.79,77.76
176.15,179.26,1136.36,1312.24,31.0,62.85,76.89
179.37,178.13,1139.35,1293.95,31.33,63.87,77.66
178.61,180.85,1138.03,1312.0,31.58,64.15,77.57
177.3,180.8,1143.82,1297.17,31.67,64.0,78.24
177.3,186.05,1170.62,1338.09,31.86,64.31,78.46
177.25,189.89,1184.98,1374.82,32.01,64.95,78.96
174.505,187.95,1180.71,1368.0,32.24,65.7,79.85
172.0,187.75,1187.53,1392.01,32.11,65.89,79.61
170.16,188.75,1188.0,1409.18,32.25,65.78,80.12
165.525,183.01,1177.72,1403.17,31.95,65.43,79.2
166.87,188.37,1183.81,1451.3,32.05,65.27,78.78
167.165,188.22,1175.99,1445.0,32.0,65.37,78.27
166.0,192.04,1127.42,1477.39,32.44,65.33,78.65
159.1,186.93,1100.61,1402.62,31.12,58.7,75.52
154.83,178.57,1033.98,1361.46,29.41,56.905,71.52
163.085,184.15,1084.97,1449.0,31.12,56.94,74.77
160.29,181.01,1059.87,1429.67,31.31,57.33,75.07
157.07,174.76,1025.88,1373.49,30.17,56.14,73.02
158.5,177.06,1056.67,1364.67,30.62,56.36,74.47
161.95,175.62,1050.0,1385.93,31.04,56.06,74.34
163.045,173.45,1054.32,1406.25,31.17,57.85,75.03
169.79,180.5,1083.45,1466.89,32.39,59.82,77.18
172.36,178.99,1093.38,1457.37,32.0,59.67,76.8
172.05,175.77,1092.76,1446.49,31.96,59.86,76.64
172.83,176.71,1109.1,1485.0,31.8,59.86,76.4
171.8,178.7,1119.17,1495.36,31.99,59.88,77.28
173.67,179.9,1118.66,1495.34,31.8,59.07,76.48
176.35,184.58,1131.86,1509.2,32.17,59.75,77.23
179.1,184.45,1143.7,1524.5,32.32,60.03,77.52
179.26,182.3,1122.0,1519.51,32.49,59.47,76.6
178.54,179.01,1109.54,1513.6,32.07,58.25,75.5
172.8,173.29,1057.98,1469.1,31.12,56.92,73.17
175.21,176.2,1078.13,1494.24,31.35,56.81,73.07
177.91,181.78,1102.1,1533.2,32.3,57.71,74.93
174.94,178.74,1092.82,1526.52,31.7,56.4,73.18
175.48,183.56,1117.2,1550.0,32.19,56.75,74.14
177.96,183.91,1139.5,1563.5,32.47,57.16,74.95
180.29,185.23,1165.05,1592.6,32.69,58.27,75.95
182.59,185.61,1171.83,1615.96,32.97,58.39,76.14
180.32,182.6,1145.8,1597.0,32.55,57.86,75.28
178.5,183.24,1149.57,1595.0,32.29,56.77,73.78
178.65,184.49,1155.35,1583.45,32.11,56.99,73.17
177.32,177.01,1117.76,1554.53,32.13,55.88,73.47
175.24,167.47,1098.4,1550.34,32.06,55.77,73.05
175.04,164.8,1092.57,1586.45,32.0,55.02,73.18
170.0,166.13,1080.01,1565.47,31.44,54.21,72.33
168.39,165.44,1051.37,1539.01,30.69,52.72,70.32
168.07,160.82,1050.6,1530.0,29.89,51.95,69.11
173.68,156.31,1063.9,1572.4,30.65,52.4,70.24
167.25,151.65,1001.91,1447.0,29.79,51.16,68.48
167.805,155.15,1011.21,1406.0,29.57,52.06,68.52
167.88,157.81,1027.62,1417.62,29.8,52.37,68.33
167.64,156.55,1016.15,1391.38,29.54,51.72,68.05
164.88,152.025,998.23,1358.24,29.0,51.13,67.16
172.58,161.56,1046.39,1441.99,30.18,53.34,70.07
170.97,157.73,1023.1,1429.97,30.01,52.65,69.52
169.88,157.82,1020.04,1425.03,29.82,52.5,69.06
173.0,157.93,1030.26,1431.99,30.48,52.99,71.05
172.23,165.36,1032.0,1439.44,30.15,52.32,69.97
173.41,166.98,1031.47,1439.5,30.22,52.16,70.47
174.78,164.58,1046.89,1449.14,31.13,52.01,73.21
175.0301,165.7249,1045.55,1445.0,30.08,50.59,71.09
176.49,165.83,1061.2,1462.3,30.17,50.95,70.65
177.81,166.88,1079.01,1514.65,30.03,50.78,69.81
174.95,166.2,1069.02,1543.22,29.55,50.51,69.1
170.595,167.79,1084.27,1561.2,30.26,51.93,70.4
166.8348,167.27,1082.98,1546.69,30.27,52.55,70.0
165.67,165.43,1059.2,1535.8,30.46,52.95,69.76
162.62,160.1448,1029.75,1458.0,30.09,52.44,68.77
164.12,173.22,1033.22,1485.01,30.04,52.99,69.11
164.0,176.81,1045.54,1634.01,29.99,52.28,69.0
162.1302,173.79,1034.42,1582.5,30.27,52.56,69.2
166.4102,172.0,1016.3,1563.22,29.92,51.76,68.24
175.225,174.246,1034.0,1580.98,29.95,52.38,67.95
175.88,175.13,1025.37,1560.01,29.51,51.62,67.8
178.25,173.08,1019.61,1562.45,28.99,51.17,67.05
185.18,177.35,1053.89,1589.34,29.44,52.97,68.27
184.99,178.25,1064.62,1595.0,29.77,52.72,69.65
186.55,179.67,1064.1,1600.0,30.1,53.45,71.23
187.74,183.15,1095.0,1608.48,30.61,54.13,71.96
189.49,184.85,1100.41,1610.99,30.91,54.69,72.53
189.01,187.71,1105.57,1604.0,31.04,54.78,72.93
186.78,184.88,1096.9,1587.8,30.92,54.43,72.51
186.07,183.6952,1085.09,1577.5,31.18,54.7,72.44
188.0,182.68,1081.46,1580.56,31.04,54.4,71.73
187.19,183.49,1066.0,1581.33,30.77,54.15,71.26
188.0,183.77,1079.0,1585.0,30.52,54.08,70.65
188.375,184.93,1089.8,1589.89,30.6,54.63,70.79
186.35,182.5,1070.0,1571.05,30.71,55.03,70.65
188.77,185.88,1086.9,1598.03,30.4,55.87,69.84
188.23,186.02,1086.55,1603.0,30.01,54.6,68.93
187.6,184.34,1076.0,1600.71,29.76,54.04,67.12
187.72,186.54,1073.48,1618.1,29.29,53.66,66.56
187.22,187.87,1082.0,1623.0,29.2,54.21,66.55
187.9912,193.065,1112.87,1637.03,29.49,54.56,67.49
191.635,191.84,1138.5,1648.9,29.55,54.79,67.44
193.065,194.3,1154.66,1672.99,29.31,54.61,67.08
193.63,191.0252,1152.77,1704.51,29.29,54.72,67.21
194.14,190.75,1144.58,1698.56,30.2,55.77,68.93
191.17,187.53,1131.21,1681.12,30.01,55.56,68.13
191.35,188.81,1132.94,1681.51,30.13,55.79,68.92
191.385,192.17,1141.02,1693.0,30.17,55.64,68.26
192.42,192.74,1152.28,1702.81,29.98,55.39,67.82
191.55,193.1,1152.21,1713.48,30.04,55.33,67.56
190.03,195.79,1159.92,1714.0,29.25,54.55,66.32
187.88,194.8,1152.69,1706.26,28.94,54.51,65.75
185.14,196.2352,1170.11,1709.04,29.04,54.68,66.03
186.35,199.1,1183.3,1742.5,29.42,55.46,67.72
187.25,202.76,1185.51,1760.0,29.21,54.25,67.16
186.12,201.16,1171.49,1742.62,29.46,54.96,68.04
183.4,200.0,1155.0,1702.51,28.86,53.78,66.79
182.99,197.6,1144.14,1672.37,28.52,53.9,65.51
185.2278,199.18,1136.0,1708.11,28.51,53.24,66.22
184.1,195.18,1112.39,1672.54,28.4,53.55,65.98
186.29,197.32,1132.31,1717.0,29.09,55.62,68.0
183.82,193.37,1115.35,1682.7,28.08,55.2,66.21
187.79,194.55,1149.42,1723.96,28.33,56.43,67.45
185.26,194.74,1124.6,1705.38,27.95,55.92,66.44
185.42,198.45,1141.77,1696.0,27.81,55.3,66.22
189.5,204.93,1160.0,1724.05,28.23,56.19,67.5
190.71,204.5,1169.99,1738.53,29.22,57.06,69.23
188.5,202.22,1155.62,1737.99,28.67,56.4,67.97
189.53,203.43,1174.86,1764.51,28.9,56.46,68.36
191.08,207.81,1202.8,1803.93,28.62,54.74,67.99
191.52,207.5,1203.81,1821.95,28.78,55.74,67.36
189.75,204.9,1182.74,1811.56,29.89,56.95,69.5
191.78,209.82,1208.53,1848.0,29.92,56.26,69.22
189.69,208.77,1206.65,1829.46,29.93,56.26,69.5
191.78,208.85,1199.24,1825.01,29.62,56.07,68.79
190.68,210.58,1195.66,1812.21,30.14,56.39,69.16
192.45,215.11,1271.0,1829.01,30.85,58.0,70.4
193.0602,215.715,1252.62,1829.3,30.7,58.1,70.82
194.61,174.89,1267.18,1839.0,31.19,58.47,71.75
194.99,179.87,1289.12,1876.05,30.99,58.38,71.36
191.9,175.3,1245.05,1827.33,31.14,58.83,71.86
190.3,170.67,1231.71,1786.49,31.36,58.61,72.2
199.13,173.93,1239.11,1784.0,31.22,57.96,72.5
200.58,170.68,1218.5,1788.77,30.98,57.08,71.34
207.03,177.69,1245.18,1837.74,31.18,58.06,71.64
208.0,178.97,1241.61,1825.81,31.45,58.58,72.16
209.32,186.5,1252.01,1854.53,31.55,58.94,72.57
206.05,184.75,1256.72,1861.0,31.51,58.76,72.14
207.28,185.8492,1262.73,1882.0,31.73,58.65,72.44
207.36,182.04,1259.18,1888.51,31.23,57.38,70.63
207.7,180.1,1251.2,1898.5,31.08,57.66,70.2
210.155,180.71,1252.5,1919.39,30.61,57.67,69.3
209.22,179.34,1244.28,1909.55,30.48,57.68,69.23
211.75,180.42,1241.99,1903.94,30.56,58.14,69.16
213.44,174.5,1222.04,1885.8,30.66,58.51,69.42
218.1,174.04,1220.66,1890.57,30.69,58.81,69.46
216.8,172.81,1223.02,1880.0,30.91,59.0,70.63
214.1,172.21,1214.22,1876.64,30.92,59.04,71.16
214.65,173.09,1219.88,1907.17,30.94,59.0,71.03
216.6,173.7,1226.0,1910.51,30.94,58.9,70.6
217.15,175.99,1244.14,1915.0,31.03,58.87,71.07
219.01,178.1,1255.9,1937.73,31.36,59.19,72.57
220.15,176.295,1255.0,1953.45,31.24,59.05,72.3
223.25,175.9,1263.4,1997.42,31.02,58.67,72.09
226.51,177.15,1252.21,2007.0,30.88,58.27,71.05
228.41,173.5,1222.52,2026.5,30.91,58.45,70.99
228.99,169.49,1209.22,2038.11,31.07,58.88,71.2
226.23,166.98,1198.57,2006.51,31.05,58.91,70.93
221.85,160.31,1172.0,1938.71,31.0,57.92,70.34
220.95,163.51,1184.2,1971.0,30.88,57.62,69.98
218.01,163.94,1171.1,1928.27,30.72,57.4,69.26
224.94,163.25,1182.0,1994.0,30.88,57.33,70.96
223.52,162.0,1179.7,2000.0,30.53,56.01,70.9
225.75,161.715,1188.0,1992.93,30.13,55.19,70.18
222.15,161.92,1177.77,1954.73,30.34,54.75,70.79
217.79,159.39,1162.66,1918.65,30.33,54.25,71.3
218.5,160.08,1168.96,1940.5,30.13,54.49,71.54
220.24,164.5,1180.67,1938.58,31.3,55.63,74.5
220.78,166.64,1194.92,1954.22,31.34,55.75,74.98
216.82,161.03,1159.41,1903.79,30.98,54.8,74.08
219.75,161.99,1184.25,1942.9,30.85,54.3,74.22
221.0,164.3,1193.69,1968.5,30.71,54.38,73.52
